SITE_ID,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
AR-SLu,-33.4648,-66.4598,505,MF
AR-Vir,-28.2395,-56.1886,105,ENF
AT-Neu,47.1167,11.3175,970,GRA
AU-Boy,-32.477093,116.938559,390,EBF
AU-Emr,-23.8587,148.4746,179,GRA
AU-Gin,-31.3764,115.7138,51,WSA
AU-GWW,-30.1913,120.6541,453,SAV
AU-Lon,-23.5232657644973,144.310415719645,207,GRA
AU-Rgf,-32.506102,116.966827,311,CRO
AU-Rig,-36.6499,145.5759,152,GRA
AU-Rob,-17.1175,145.6301,711,EBF
AU-Wac,-37.4259,145.1878,751,EBF
AU-War,-43.09502,146.65452,113,EBF
AU-Whr,-36.6732,145.0294,150,EBF
AU-Wom,-37.4222,144.0944,705,EBF
AU-Ync,-34.9893,146.2907,124,GRA
BR-CST,-7.9682,-38.3842,468,DNF
BR-Npw,-16.498,-56.412,120,WSA
BR-Sa3,-3.018,-54.9714,100,EBF
CA-Ca1,49.8673,-125.3336,303.06,ENF
CA-Ca2,49.8705,-125.2909,174.01,ENF
CA-Cbo,44.3167,-79.9333,215.72,DBF
CA-CF1,58.6658,-93.83,26,WET
CA-DB2,49.119,-122.9951,9.21,WET
CA-EM1,50.3623,-100.2024,608,WET
CA-Gro,48.2167,-82.1556,340,MF
CA-LP1,55.1119,-122.8414,751,ENF
CA-MA2,50.171,-97.8762,259,CRO
CA-MA3,50.1774,-97.8686,259,GRA
CA-Man,55.8796,-98.4808,259,ENF
CA-NS1,55.8792,-98.4839,260,ENF
CA-NS2,55.9058,-98.5247,260,ENF
CA-NS3,55.9117,-98.3822,260,ENF
CA-NS4,55.9144,-98.3806,260,ENF
CA-NS5,55.8631,-98.485,260,ENF
CA-NS6,55.9167,-98.9644,244,OSH
CA-NS7,56.6358,-99.9483,297,OSH
CA-Oas,53.6289,-106.1978,530,DBF
CA-Qc2,49.7598,-74.5711,387.3,MF
CA-Qfo,49.6925,-74.3421,382,ENF
CA-SF1,54.485,-105.8176,536,ENF
CA-SF2,54.2539,-105.8775,520,ENF
CA-SF3,54.0916,-106.0053,540,OSH
CA-TP2,42.7744,-80.4588,212,ENF
CA-TP3,42.7068,-80.3483,184,ENF
CA-TP4,42.7102,-80.3574,184,ENF
CA-TPD,42.6353,-80.5577,260,DBF
CG-Tch,-4.2892,11.6564,82,SAV
CH-Cha,47.2102,8.4104,393,GRA
CH-Fru,47.1158,8.5378,982,GRA
CL-SDF,-41.883,-73.676,31,EBF
CN-Cha,42.4025,128.0958,762,MF
CN-Cng,44.5934,123.5092,142,GRA
CN-Dan,30.4978,91.0664,4319,GRA
CN-Din,23.1733,112.5361,272,EBF
CN-Du2,42.0467,116.2836,1320,GRA
CN-Du3,42.0551,116.2809,1310,GRA
CN-Ha2,37.6086,101.3269,3201,WET
CN-HaM,37.37,101.18,4001,GRA
CN-Qia,26.7414,115.0581,109,ENF
CN-Sw2,41.7902,111.8971,1445,GRA
CZ-BK2,49.4944,18.5429,855,GRA
CZ-KrP,49.573257,15.078773,540,CRO
CZ-RAJ,49.4437236,16.6965125,648,ENF
CZ-Stn,49.035975,17.9699,564,DBF
DE-Akm,53.8662,13.6834,-1,WET
DE-Geb,51.09973,10.91463,163,CRO
DE-Har,47.933,7.5981,201,MF
DE-Hdn,53.86825,13.268543,19,CRO
DE-Hte,54.2103,12.1761,0.2,WET
DE-Lkb,49.0996,13.3047,1308,ENF
DE-Lnf,51.3282,10.3678,451,DBF
DE-Msr,47.809181,11.456168,602.07,ENF
DE-Obe,50.7867,13.7213,734,ENF
DE-Rns,51.494953,9.932118,155,CRO
DE-RuR,50.6219142,6.3041256,514.7,GRA
DE-Seh,50.8706,6.4497,103,CRO
DE-SfN,47.8064,11.3275,590,WET
DE-Spw,51.8922,14.0337,61,WET
DE-Zrk,53.8759,12.889,0,WET
DK-Eng,55.6905,12.1918,10,GRA
DK-Fou,56.4842,9.5872,51,CRO
DK-Sor,55.4858694,11.6446444,55,DBF
EE-Pts,58.563316,24.368887,16,WET
ES-Abr,38.701839,-6.785881,281,SAV
ES-Agu,36.940046,-2.033208,197,OSH
ES-Amo,36.8336,-2.2523,58,OSH
ES-LgS,37.0979,-2.9658,2267,OSH
ES-LJu,36.9266,-2.7521,1600,OSH
ES-LM1,39.94269,-5.778683,263,SAV
ES-LM2,39.934592,-5.775881,270,SAV
FI-Jok,60.8986,23.5134,109,CRO
FI-Lom,67.9972,24.2092,274,WET
FI-Qvd,60.295242,22.391607,0,CRO
FI-Sii,61.83265,24.19285,164,WET
FI-Var,67.7549,29.61,395,ENF
FR-CLt,45.0414,6.41053,2050.6,GRA
FR-EM2,49.8721083,3.02065,84,CRO
FR-Lam,43.49648,1.23785,182,CRO
FR-LBr,44.7171,-0.7693,61,ENF
FR-Lus,46.4142461,0.1206518,154,GRA
FR-Mej,48.1184,-1.79635,40,GRA
FR-Tou,43.572855,1.37474,158,GRA
GH-Ank,5.2685,-2.6942,124,EBF
IE-CaC,52.85879,-6.918136,58,CRO
IE-CaN,52.85879,-6.918136,58,CRO
IE-Cra,53.3229785,-7.641769,57,WET
IE-Gwr,52.6365,-7.011306,47,CRO
IL-Yat,31.345044585655,35.0519885122776,652,ENF
IT-BFt,45.197755,10.741966,23,DBF
IT-CA1,42.3804,12.0266,200,DBF
IT-CA2,42.3772,12.026,200,CRO
IT-CA3,42.38,12.0222,197,DBF
IT-Col,41.8494,13.5881,1560,DBF
IT-Cp2,41.7043,12.3573,19,EBF
IT-Cpz,41.7052,12.3761,68,EBF
IT-Isp,45.8126,8.6336,210,DBF
IT-La2,45.9542,11.2853,1350,ENF
IT-Lav,45.9562,11.2813,1353,ENF
IT-MtM,46.687021,10.579757,1476,GRA
IT-MtP,46.684285,10.585237,1520,GRA
IT-PT1,45.2009,9.061,60,DBF
IT-Ren,46.58686,11.43369,1687,ENF
IT-SRo,43.7279,10.2844,6,ENF
IT-TrF,45.82376,7.56089,2084,DNF
JP-BBY,43.323,141.8107,15,WET
MY-PSO,2.973,102.3062,132,EBF
NL-Hor,52.2403,5.0713,2.2,GRA
NO-Hur,60.3716329214,11.0794898767,319,ENF
PA-SPn,9.3181,-79.6346,78,DBF
PA-SPs,9.3138,-79.6314,68,GRA
PE-QFR,-3.8344,-73.319,101,WET
RU-Che,68.613,161.3414,6,WET
RU-Cok,70.8291,147.4943,48,OSH
RU-Fy2,56.4476,32.9019,275,ENF
RU-Fy3,56.4435,33.0478,271,ENF
RU-Fyo,56.4615,32.9221,265,ENF
RU-Ha1,54.7252,90.0022,446,GRA
RU-Sam,72.3738,126.4958,0,GRA
RU-SkP,62.255,129.168,246,DNF
RU-Tks,71.5943,128.8878,7,GRA
RU-Vrk,67.0547,62.9405,100,CSH
SD-Dem,13.2829,30.4783,500,SAV
SE-Ros,64.1725,19.738,0,ENF
SE-St1,68.3541,19.0503,351,WET
SE-Sto,68.35594288,19.04520892,351.893,WET
SJ-Adv,78.186,15.923,17,WET
SN-Dhr,15.4028,-15.4322,40,SAV
UK-AMo,55.792546,-3.2436918,268,WET
US-A32,36.8193,-97.8198,335.58,GRA
US-A74,36.8085,-97.5489,336.32,CRO
US-ALQ,46.0308,-89.6067,496.61,WET
US-AR1,36.4267,-99.42,611,GRA
US-AR2,36.6358,-99.5975,646,GRA
US-ARb,35.5497,-98.0402,424,GRA
US-ARc,35.5465,-98.04,424,GRA
US-ARM,36.6058,-97.4888,314,CRO
US-ASH,36.1697,-120.201,145.77,DBF
US-ASM,36.1777,-120.2026,145.31,DBF
US-Atq,70.4696,-157.4089,15,WET
US-Bar,44.0646,-71.2881,270.99,DBF
US-Bi1,38.0992,-121.4993,-2.7,CRO
US-Bi2,38.1091,-121.5351,-5,CRO
US-Blo,38.8953,-120.6328,1315,ENF
US-BZB,64.6955,-148.3208,100,WET
US-BZF,64.7013,-148.3121,95,WET
US-BZo,64.6936,-148.33,120.45,WET
US-CF1,46.7815,-117.0821,793.92,CRO
US-CF2,46.784,-117.0908,790.7,CRO
US-CF3,46.7551,-117.1261,782.6,CRO
US-CF4,46.7518,-117.1285,783.8,CRO
US-CGG,37.938,-121.9761,116.68,GRA
US-CRT,41.6285,-83.3471,180,CRO
US-CS1,44.1031,-89.5379,334.52,CRO
US-CS2,44.1467,-89.5002,335.3,ENF
US-CS3,44.1394,-89.5727,327.22,CRO
US-CS4,44.1597,-89.5475,329.55,CRO
US-CS5,44.1095,-89.5377,334.87,CRO
US-CS6,44.4297,-89.544,329.12,CRO
US-CS8,44.4338,-89.5364,330.27,CRO
US-Cst,33.0442,-91.9204,45.49,ENF
US-DFC,43.3448,-89.7117,263.09,CRO
US-Dmg,38.0015,-121.6691,1.42,WET
US-DS3,38.1235,-121.549,-5.45,CRO
US-EDN,37.6156,-122.114,1.99,WET
US-EML,63.8784,-149.2536,662,OSH
US-Fcr,65.3968,-148.9348,324.71,OSH
US-Fmf,35.1426,-111.7273,2192.91,ENF
US-Fuf,35.089,-111.762,2212.43,ENF
US-Fwf,35.4454,-111.7718,2313.48,GRA
US-GBT,41.3658,-106.2397,3191,ENF
US-GLE,41.3665,-106.2399,3197,ENF
US-Goo,34.2547,-89.8735,87,GRA
US-HB2,33.3242,-79.244,4.59,ENF
US-HB3,33.3482,-79.2322,4.1,ENF
US-Hn2,46.6889,-119.4641,117.58,GRA
US-Hn3,46.6878,-119.4614,120.91,OSH
US-Ho1,45.2041,-68.7402,60,ENF
US-Ho2,45.2091,-68.747,84.14,ENF
US-HWB,40.8608,-77.8488,349.52,CVM
US-IB2,41.8406,-88.241,226.5,GRA
US-ICh,68.6068,-149.2958,951.02,OSH
US-ICs,68.6058,-149.311,920,WET
US-ICt,68.6063,-149.3041,918.8,OSH
US-Ivo,68.4865,-155.7503,568,WET
US-Jo1,32.582,-106.635,1398.42,OSH
US-Jo2,32.5849,-106.6032,1470.23,OSH
US-KLS,38.7745,-97.5684,378.48,GRA
US-Kon,39.0824,-96.5603,443.29,GRA
US-KS1,28.4583,-80.6709,1,ENF
US-KS2,28.6086,-80.6715,3,CSH
US-KS3,28.7085,-80.7427,0.22,WET
US-Lin,36.3566,-119.0922,131,CRO
US-Los,46.0827,-89.9792,480,WET
US-LS2,31.5659,-110.1344,1240.49,SAV
US-LWW,34.9604,-97.9789,365,GRA
US-Me1,44.5794,-121.5,896,ENF
US-Me2,44.4526,-121.5589,1253,ENF
US-Me3,44.3154,-121.6078,1005,ENF
US-Me4,44.4992,-121.6224,922,ENF
US-Me5,44.4372,-121.5668,1188,ENF
US-Me6,44.3233,-121.6078,998,ENF
US-Mo1,39.2298,-92.1167,263.48,CRO
US-Mo2,38.9488,-91.9945,273.62,GRA
US-Mo3,39.2322,-92.1493,264.06,CRO
US-MOz,38.7441,-92.2,238.51,DBF
US-Mpj,34.4384,-106.2377,2193.94,WSA
US-Myb,38.0499,-121.765,-4,WET
US-NC1,35.8118,-76.7119,6.07,OSH
US-NC3,35.799,-76.656,5.08,ENF
US-NGB,71.28,-156.6092,5.273,SNO
US-NGC,64.8618,-163.7002,35,GRA
US-NR1,40.0329,-105.5464,3050,ENF
US-Oho,41.5545,-83.8438,230,DBF
US-ONA,40.1776,-112.4524,1655.33,GRA
US-OWC,41.3795,-82.5125,174,WET
US-PFb,45.972,-90.3232,471.08,ENF
US-PFc,45.9677,-90.3088,471.03,DBF
US-PFd,45.9689,-90.301,464.13,WET
US-PFk,45.9149,-90.3425,466.79,DBF
US-PFL,45.9409,-90.3177,467.29,DBF
US-PFm,45.9207,-90.3099,468,DBF
US-PFn,45.9392,-90.2823,474.29,DBF
US-PFp,45.9365,-90.2641,476.92,DBF
US-PFq,45.9271,-90.2475,474.08,DBF
US-PFt,45.9197,-90.2288,472.18,ENF
US-PSH,36.2347,-119.9247,69.44,DBF
US-PSL,36.8276,-120.1397,65.58,DBF
US-RGA,34.4159,-91.6733,59.09,CRO
US-RGB,39.5782,-121.8579,33.29,CRO
US-RGF,37.6995,-121.1369,16,CRO
US-RGo,39.6805,-122.0026,40.39,CRO
US-RGW,33.6216,-91.4306,43.2,CRO
US-Rls,43.1439,-116.7356,1618.86,CSH
US-Rms,43.0645,-116.7486,2110.28,CSH
US-Ro1,44.7143,-93.0898,287.57,CRO
US-Ro2,44.7288,-93.0888,287.31,CRO
US-Ro3,44.7217,-93.0893,283.8,CRO
US-Ro4,44.6781,-93.0723,265.21,GRA
US-Ro5,44.691,-93.0576,283.48,CRO
US-Ro6,44.6946,-93.0578,283.19,CRO
US-Rpf,65.1198,-147.429,487.7,DBF
US-RRC,37.3344,-77.2065,0.67,WET
US-Rwe,43.0653,-116.7591,2095.4,CSH
US-Rwf,43.1207,-116.7231,1882.6,CSH
US-Rws,43.1675,-116.7132,1424.62,OSH
US-Seg,34.3623,-106.7019,1594.51,GRA
US-Ses,34.3349,-106.7442,1599.98,OSH
US-Sne,38.0369,-121.7547,-5,GRA
US-Snf,38.0402,-121.7272,-4.07,GRA
US-SP1,29.7381,-82.2188,47.22,ENF
US-SRC,31.9083,-110.8395,950,OSH
US-SRG,31.7894,-110.8277,1291,GRA
US-SRM,31.8214,-110.8661,1120,WSA
US-Srr,38.2006,-122.0264,8,WET
US-SRS,31.8173,-110.8508,1167.63,WSA
US-SSH,40.6658,-77.9041,302.33,DBF
US-StJ,39.0882,-75.4372,6.7,WET
US-Syv,46.242,-89.3477,540,MF
US-Ton,38.4309,-120.966,177,WSA
US-Tw1,38.1074,-121.6469,-5,WET
US-Tw2,38.0969,-121.6365,-5,CRO
US-Tw3,38.1152,-121.6469,-4,CRO
US-Tw4,38.1027,-121.6413,-5,WET
US-Tw5,38.1072,-121.6426,-5,WET
US-Twt,38.1087,-121.6531,-7,CRO
US-UC1,40.7536,-78.0056,390.06,CVM
US-UC2,40.7559,-77.9998,395.54,CVM
US-UMd,45.5625,-84.6975,239,DBF
US-UTB,40.7848,-113.8299,1285.27,BSV
US-Var,38.4133,-120.9508,129,GRA
US-Vcm,35.8884,-106.5321,3033.99,ENF
US-Vcp,35.8624,-106.5974,2485.37,ENF
US-WCr,45.8059,-90.0799,520,DBF
US-Whs,31.7438,-110.0522,1370,OSH
US-Wi0,46.6188,-91.0814,349,ENF
US-Wi1,46.7305,-91.2329,352,DBF
US-Wi2,46.6869,-91.1528,395,ENF
US-Wi3,46.6347,-91.0987,411,DBF
US-Wi4,46.7393,-91.1663,352,ENF
US-Wi5,46.6531,-91.0858,353,ENF
US-Wi6,46.6249,-91.2982,371,OSH
US-Wi7,46.6491,-91.0693,335,OSH
US-Wi8,46.7223,-91.2524,348,DBF
US-Wi9,46.7385,-91.0746,350,ENF
US-Wjs,34.4255,-105.8615,1929.02,SAV
US-Wkg,31.7365,-109.9419,1531,GRA
US-WPT,41.4646,-82.9962,175,WET
US-xAB,45.7624,-122.3303,364.39,ENF
US-xAE,35.4106,-99.0588,520.07,GRA
US-xBA,71.2824,-156.6194,5.29,WET
US-xBL,39.0603,-78.0716,182.57,DBF
US-xBN,65.154,-147.5026,232.79,ENF
US-xBR,44.0639,-71.2873,275.02,DBF
US-xCL,33.4012,-97.57,272.26,GRA
US-xCP,40.8155,-104.7456,1653.93,GRA
US-xDC,47.1617,-99.1066,575.6,GRA
US-xDJ,63.8811,-145.7514,506.78,ENF
US-xDL,32.5417,-87.8039,24.59,MF
US-xDS,28.125,-81.4362,20.7,CVM
US-xGR,35.689,-83.5019,576.55,DBF
US-xHA,42.5369,-72.1727,348.23,DBF
US-xHE,63.8757,-149.2133,677.56,OSH
US-xJE,31.1948,-84.4686,46.53,ENF
US-xJR,32.5907,-106.8425,1323.42,OSH
US-xKA,39.1104,-96.6129,324.14,GRA
US-xKZ,39.1008,-96.5631,415.06,GRA
US-xMB,38.2483,-109.3883,1801.24,OSH
US-xML,37.3783,-80.5248,1170.36,DBF
US-xNG,46.7697,-100.9154,588.51,GRA
US-xNQ,40.1776,-112.4524,1655.33,OSH
US-xRM,40.2759,-105.5459,2743.94,ENF
US-xSB,29.6893,-81.9934,46.15,ENF
US-xSC,38.8929,-78.1395,353.02,DBF
US-xSE,38.8901,-76.56,9.79,DBF
US-xSJ,37.1088,-119.7323,398.8,SAV
US-xSL,40.4619,-103.0293,1364.89,CRO
US-xSR,31.9107,-110.8355,997.32,OSH
US-xST,45.5089,-89.5864,475.42,DBF
US-xTA,32.9505,-87.3933,165.87,ENF
US-xTL,68.6611,-149.3705,827.85,WET
US-xTR,45.4937,-89.5857,466.34,DBF
US-xUK,39.0404,-95.1921,321.35,DBF
US-xUN,46.2339,-89.5373,521.47,MF
US-xWD,47.1282,-99.2414,590.92,GRA
US-YK2,61.2548,-163.259,18.68,WET
ZA-Kru,-25.0197,31.4969,359,SAV
ZM-Mon,-15.4391,23.2525,1053,DBF
