SITE_ID,n_years,years_available
AU-Boy,6,"2017, 2018, 2019, 2020, 2021, 2022"
AU-GWW,7,"2016, 2017, 2018, 2019, 2020, 2021, 2022"
AU-War,6,"2016, 2017, 2018, 2019, 2020, 2021"
AU-Whr,5,"2016, 2017, 2019, 2020, 2021"
AU-Wom,6,"2016, 2017, 2018, 2019, 2020, 2021"
BR-Npw,2,"2016, 2017"
CA-Cbo,5,"2016, 2017, 2018, 2019, 2020"
CA-DB2,1,2020
CA-EM1,3,"2021, 2022, 2023"
CA-LP1,4,"2016, 2020, 2021, 2022"
CA-TP3,2,"2016, 2017"
CA-TPD,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
CL-SDF,3,"2016, 2017, 2018"
CZ-RAJ,7,"2016, 2017, 2018, 2019, 2020, 2021, 2022"
CZ-Stn,7,"2016, 2017, 2018, 2019, 2020, 2021, 2022"
DE-Akm,7,"2016, 2017, 2018, 2020, 2021, 2022, 2023"
DE-Har,5,"2020, 2021, 2022, 2023, 2024"
DE-Hte,3,"2016, 2017, 2018"
DE-Msr,5,"2020, 2021, 2022, 2023, 2024"
DE-Obe,1,2016
DK-Sor,8,"2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024"
EE-Pts,2,"2022, 2023"
ES-Abr,5,"2016, 2017, 2018, 2019, 2020"
ES-Agu,3,"2017, 2018, 2019"
ES-LJu,5,"2016, 2017, 2018, 2019, 2020"
ES-LM1,5,"2016, 2017, 2018, 2019, 2020"
ES-LM2,5,"2016, 2017, 2018, 2019, 2020"
FI-Sii,7,"2018, 2019, 2020, 2021, 2022, 2023, 2024"
FI-Var,2,"2017, 2018"
IE-Cra,1,2020
IL-Yat,5,"2016, 2017, 2018, 2019, 2020"
IT-BFt,6,"2019, 2020, 2021, 2022, 2023, 2024"
IT-Lav,5,"2016, 2017, 2018, 2019, 2020"
IT-Ren,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
IT-TrF,8,"2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024"
JP-BBY,4,"2016, 2017, 2018, 2019"
NO-Hur,1,2024
PE-QFR,2,"2019, 2022"
RU-Fy2,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
RU-Fy3,2,"2016, 2017"
RU-Fyo,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
SE-Ros,5,"2016, 2017, 2018, 2019, 2020"
SE-St1,4,"2016, 2017, 2018, 2019"
SE-Sto,3,"2022, 2023, 2024"
UK-AMo,8,"2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024"
US-ALQ,2,"2019, 2020"
US-ASH,1,2016
US-ASM,1,2016
US-BZB,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-BZF,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-BZo,7,"2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-Bar,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-CS2,5,"2018, 2019, 2020, 2021, 2022"
US-Dmg,4,"2021, 2022, 2023, 2024"
US-EDN,2,"2018, 2019"
US-EML,4,"2016, 2017, 2018, 2019"
US-GLE,5,"2016, 2017, 2018, 2019, 2020"
US-HB2,1,2019
US-HB3,4,"2019, 2020, 2021, 2022"
US-HWB,3,"2016, 2017, 2018"
US-Hn3,1,2018
US-Ho1,6,"2016, 2017, 2018, 2019, 2020, 2021"
US-Ho2,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-ICh,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-ICs,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-ICt,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Jo1,7,"2016, 2017, 2018, 2019, 2020, 2021, 2022"
US-Jo2,5,"2016, 2017, 2018, 2019, 2020"
US-KS3,1,2018
US-MOz,6,"2016, 2017, 2018, 2019, 2020, 2021"
US-Me2,7,"2016, 2017, 2018, 2019, 2020, 2021, 2022"
US-Me6,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-Myb,6,"2016, 2017, 2018, 2019, 2020, 2021"
US-NC3,5,"2016, 2017, 2018, 2019, 2020"
US-NR1,1,2016
US-OWC,1,2016
US-PFL,1,2019
US-PFb,1,2019
US-PFc,1,2019
US-PFd,1,2019
US-PFk,1,2019
US-PFm,1,2019
US-PFn,1,2019
US-PFp,1,2019
US-PFq,1,2019
US-PFt,1,2019
US-PSH,1,2016
US-PSL,1,2016
US-RRC,3,"2022, 2023, 2024"
US-Rls,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Rms,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Rpf,7,"2016, 2017, 2018, 2019, 2021, 2022, 2023"
US-Rwf,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Rws,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-SP1,5,"2016, 2017, 2018, 2019, 2020"
US-SRM,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-SRS,3,"2016, 2017, 2018"
US-SSH,3,"2016, 2017, 2019"
US-Ses,6,"2016, 2017, 2018, 2019, 2020, 2021"
US-Srr,2,"2016, 2017"
US-StJ,2,"2016, 2017"
US-Syv,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Ton,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-Tw1,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Tw4,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Tw5,2,"2018, 2019"
US-UC1,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-UC2,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-UMd,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Vcm,8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
US-Vcp,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-Whs,5,"2016, 2017, 2018, 2019, 2020"
US-Wjs,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
US-YK2,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xAB,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBA,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBL,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBN,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xDJ,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xDL,5,"2020, 2021, 2022, 2023, 2024"
US-xDS,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xGR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xHA,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xHE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xJE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xJR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xMB,5,"2020, 2021, 2022, 2023, 2024"
US-xML,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xNQ,3,"2019, 2020, 2021"
US-xRM,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSB,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSC,5,"2020, 2021, 2022, 2023, 2024"
US-xSE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSJ,5,"2020, 2021, 2022, 2023, 2024"
US-xSR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xST,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xTA,5,"2019, 2020, 2021, 2023, 2024"
US-xTL,5,"2019, 2021, 2022, 2023, 2024"
US-xTR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xUK,5,"2020, 2021, 2022, 2023, 2024"
US-xUN,6,"2019, 2020, 2021, 2022, 2023, 2024"
